Name,Description,URL,Category
Hermes,"God of boundaries, travel, trade, communication, language, writing, cunning and thieves. Hermes was also responsible for protecting livestock and presided over the spheres associated with fertility, music, luck, and deception.[9] The son of Zeus and Maia, Hermes is the messenger of the gods, and a psychopomp who leads the souls of the dead into the afterlife. He was depicted either as a handsome and athletic beardless youth, or as an older bearded man. His attributes include the herald's wand or caduceus, winged sandals, and a traveler's cap. His sacred animals include the tortoise. His Roman counterpart is Mercury.",https://en.wikipedia.org/wiki/Hermes,Greek
Hestia,"Virgin goddess of the hearth, home, domesticity and chastity. She is a daughter of Rhea and Cronus, and a sister of Zeus. Not often identifiable in Greek art, she appeared as a modestly veiled woman. Her symbols are the hearth and kettle. She plays little role in Greek myths, and although she is omitted in some lists of the twelve Olympians in favour of Dionysus, no ancient tale tells of her abdicating or giving her seat to Dionysus.[10] Her Roman counterpart Vesta, however, was a major deity of the Roman state.",https://en.wikipedia.org/wiki/Hestia,Greek
Poseidon,"God of the sea, rivers, floods, droughts, and earthquakes. He is a son of Cronus and Rhea, and the brother of Zeus and Hades. He rules one of the three realms of the universe, as king of the sea and the waters. In art he is depicted as a mature man of sturdy build, often with a luxuriant beard, and holding a trident. His sacred animals include the horse and the dolphin. His wedding with Amphitrite is often presented as a triumphal procession. In some stories he rapes Medusa, leading to her transformation into a hideous Gorgon and also to the birth of their two children, Pegasus and Chrysaor. His Roman counterpart is Neptune.",https://en.wikipedia.org/wiki/Poseidon,Greek
Zeus,"King of the gods, ruler of Mount Olympus, and god of the sky, weather, thunder, lightning, law, order, and justice. He is the youngest son of Cronus and Rhea. He overthrew Cronus and gained the sovereignty of heaven for himself. In art he is depicted as a regal, mature man with a sturdy figure and dark beard. His usual attributes are the royal scepter and the lightning bolt. His sacred animals include the eagle and the bull. His Roman counterpart is Jupiter, also known as Jove.",https://en.wikipedia.org/wiki/Zeus,Greek
Alcis,"pair of young brothers worshipped by the Naharvali, an ancient Germanic tribe.",https://en.wikipedia.org/wiki/Alcis_(gods),Norse
Baldr,"son of the god Odin and the goddess Frigg, and has numerous brothers, such as Thor and Váli.",https://en.wikipedia.org/wiki/Baldr,Norse
Bragi,is the skaldic god of poetry in Norse mythology.,https://en.wikipedia.org/wiki/Bragi,Norse
Dellingr,"possibly ""the dayspring""[1] or ""shining one""",https://en.wikipedia.org/wiki/Dellingr,Norse
Forseti,the god of justice and reconciliation,https://en.wikipedia.org/wiki/Forseti,Norse
Freyr,"""the most renowned of the æsir"", and was venerated for good harvest and peace.",https://en.wikipedia.org/wiki/Freyr,Norse
Heimdall,"""the head is called his sword,"" and he is ""the whitest of the gods.""",https://en.wikipedia.org/wiki/Heimdall,Norse
Hermóðr,often considered the messenger of the gods.,https://en.wikipedia.org/wiki/Herm%C3%B3%C3%B0r,Norse
Höðr,The blind son of Odin and Frigg,https://en.wikipedia.org/wiki/H%C3%B6%C3%B0r,Norse
Hœnir,one of the three gods (along with Odin and Lóðurr) that created the first humans.,https://en.wikipedia.org/wiki/H%C5%93nir,Norse
Lóðurr,he is assigned a role in animating the first humans,https://en.wikipedia.org/wiki/L%C3%B3%C3%B0urr,Norse
Loki,a shape shifter ,https://en.wikipedia.org/wiki/Loki,Norse
Móði and Magni,"names translate to ""Wrath"" and ""Mighty,"" respectively.",https://en.wikipedia.org/wiki/M%C3%B3%C3%B0i_and_Magni,Norse
Máni,Moon,https://en.wikipedia.org/wiki/M%C3%A1ni,Norse
Mímir,"""Rememberer""",https://en.wikipedia.org/wiki/M%C3%ADmir,Norse
Meili,"""the lovely one""",https://en.wikipedia.org/wiki/Meili,Norse
Njörðr,"associated with the sea, seafaring, wind, fishing, wealth, and crop fertility.",https://en.wikipedia.org/wiki/Nj%C3%B6r%C3%B0r,Norse
Odin,Frenzy,https://en.wikipedia.org/wiki/Odin,Norse
Óðr,"""Divine Madness, frantic, furious, vehement, eager""",https://en.wikipedia.org/wiki/%C3%93%C3%B0r,Norse
Seaxnēat,the national god of the Saxons.,https://en.wikipedia.org/wiki/Seaxn%C4%93at,Norse
Thor,meaning 'Thunder',https://en.wikipedia.org/wiki/Thor,Norse
Tuisto,the legendary divine ancestor of the Germanic peoples,https://en.wikipedia.org/wiki/Tuisto,Norse
Týr,a valorous and powerful member of the Æsir and patron of warriors and mythological heroes,https://en.wikipedia.org/wiki/T%C3%BDr,Norse
Ullr,a god associated with archery.,https://en.wikipedia.org/wiki/Ullr,Norse
Váli,He is prophesied to survive Ragnarök.,https://en.wikipedia.org/wiki/V%C3%A1li,Norse
Víðarr,a god among the Æsir associated with vengeance.,https://en.wikipedia.org/wiki/V%C3%AD%C3%B0arr,Norse
Vili and Vé,brothers of the god Odin,https://en.wikipedia.org/wiki/Vili_and_V%C3%A9,Norse
Baduhenna,"Badu-, may be cognate to Proto-Germanic *badwa- meaning ""battle."" The second portion of the name -henna may be related to -henae, which appears commonly in the names of matrons.",https://en.wikipedia.org/wiki/Baduhenna,Norse
Hjúki and Bil,"Hjúki (Old Norse: [ˈhiu̯ːke], possibly meaning ""the one returning to health""[1]) and Bil (O.N.: [ˈbil], literally ""instant""",https://en.wikipedia.org/wiki/Hj%C3%BAki_and_Bil,Norse
Beyla,"her name has been proposed as related to ""cow,"" ""bean,"" or ""bee.""",https://en.wikipedia.org/wiki/Beyla,Norse
Dís,"""lady""",https://en.wikipedia.org/wiki/D%C3%ADs,Norse
Eir,a goddess or valkyrie associated with medical skill.,https://en.wikipedia.org/wiki/Eir,Norse
Ēostre,"""East""",https://en.wikipedia.org/wiki/%C4%92ostre,Norse
Freyja,"goddess associated with love, beauty, fertility, sex, war, gold, and seiðr (magic for seeing and influencing the future)",https://en.wikipedia.org/wiki/Freyja,Norse
Frigg,"Derived from an Indo-European root meaning ""Love""",https://en.wikipedia.org/wiki/Frigg,Norse
Fulla,"Possibly ""bountiful""",https://en.wikipedia.org/wiki/Fulla,Norse
Gefjon,a goddess associated with ploughing,https://en.wikipedia.org/wiki/Gefjon,Norse
Gersemi,means 'treasure',https://en.wikipedia.org/wiki/Gersemi,Norse
Gerðr,"""fenced-in""",https://en.wikipedia.org/wiki/Ger%C3%B0r,Norse
Gná and Hófvarpnir,"Gná (Old Norse: [ˈɡnɒː]) is a goddess who runs errands in other worlds for the goddess Frigg and rides the flying, sea-treading horse Hófvarpnir (O.N.: [ˈhoːvˌwɑrpnez̠], ""he who throws his hoofs about"",[1] ""hoof-thrower""[2] or ""hoof kicker""[3])",https://en.wikipedia.org/wiki/Gn%C3%A1_and_H%C3%B3fvarpnir,Norse
Gullveig,female figure in Norse mythology associated with the legendary conflict between the Æsir and Vanir.,https://en.wikipedia.org/wiki/Gullveig,Norse
Hariasa,"Possibly related to the valkyrie name Herja or meaning ""goddess with lots of hair""",https://en.wikipedia.org/wiki/Hariasa,Norse
Hlín,"Possibly related to the Old Norse term hleinir, itself possibly meaning ""protects""",https://en.wikipedia.org/wiki/Hl%C3%ADn,Norse
Hludana,"""The famous""",https://en.wikipedia.org/wiki/Hludana,Norse
Hnoss,"""treasure""",https://en.wikipedia.org/wiki/Hnoss,Norse
Rheda,"possibly meaning ""the famous"" or ""the victorious""",https://en.wikipedia.org/wiki/Rheda_(mythology),Norse
Idis (Germanic),meaning 'well-respected and dignified woman.',https://en.wikipedia.org/wiki/Idis_(Germanic),Norse
Ilmr,"Potentially related to Old Norse ilmr, a masculine noun meaning ""pleasant scent""",https://en.wikipedia.org/wiki/Ilmr,Norse
Iðunn,goddess associated with apples and youth.,https://en.wikipedia.org/wiki/I%C3%B0unn,Norse
Þorgerðr Hölgabrúðr and Irpa,"Possibly relating to ""dark brown""",https://en.wikipedia.org/wiki/%C3%9Eorger%C3%B0r_H%C3%B6lgabr%C3%BA%C3%B0r_and_Irpa,Norse
Lofn,"possibly ""comforter,""[1] ""the comforter, the mild,""[2] or ""loving""[3]",https://en.wikipedia.org/wiki/Lofn,Norse
Nanna (Norse deity),a goddess associated with the god Baldr.,https://en.wikipedia.org/wiki/Nanna_(Norse_deity),Norse
Nehalennia,"a goddess of unclear origin, perhaps Germanic or Celtic.",https://en.wikipedia.org/wiki/Nehalennia,Norse
Nerthus,a goddess associated with fertility.,https://en.wikipedia.org/wiki/Nerthus,Norse
Njörun,a goddess attested in the Prose Edda,https://en.wikipedia.org/wiki/Nj%C3%B6run,Norse
Norns,esponsible for shaping the course of human destinies.[1],https://en.wikipedia.org/wiki/Norns,Norse
Rán,a goddess and a personification of the sea.,https://en.wikipedia.org/wiki/R%C3%A1n,Norse
Rindr,alternatively described as a giantess or a human princess from the east.,https://en.wikipedia.org/wiki/Rindr,Norse
Sága and Sökkvabekkr,"Sága (Old Norse: [sɑːɣɑ], possibly meaning ""seeress""[1]) is a goddess associated with the location Sökkvabekkr (Old Norse: [ˈsøkːwɑˌbekːz̠]; ""sunken bank"", ""sunken bench"", or ""treasure bank""[2])",https://en.wikipedia.org/wiki/S%C3%A1ga_and_S%C3%B6kkvabekkr,Norse
Sandraudiga,"""She who dyes the sand red.""",https://en.wikipedia.org/wiki/Sandraudiga,Norse
Sif,is a golden-haired goddess associated with earth.,https://en.wikipedia.org/wiki/Sif,Norse
Sigyn,"""(female) friend of victory""",https://en.wikipedia.org/wiki/Sigyn,Norse
Sinthgunt,"referred to as the sister of the personified sun, Sunna",https://en.wikipedia.org/wiki/Sinthgunt,Norse
Sjöfn,a goddess associated with love.,https://en.wikipedia.org/wiki/Sj%C3%B6fn,Norse
Skaði,"a jötunn and goddess associated with bowhunting, skiing, winter, and mountains.",https://en.wikipedia.org/wiki/Ska%C3%B0i,Norse
Snotra,a goddess associated with wisdom.,https://en.wikipedia.org/wiki/Snotra,Norse
Sól,the Sun personified in Germanic mythology,https://en.wikipedia.org/wiki/S%C3%B3l_(Germanic_mythology),Norse
Syn,a goddess associated with defensive refusal.,https://en.wikipedia.org/wiki/Syn_(goddess),Norse
Tamfana,"fana is Latin for ""temples,"" it has been suggested that it was a temple to a god Tan, shortened from the German word for a pine tree, Tanne, or that the first element meant ""collective.""",https://en.wikipedia.org/wiki/Tamfana,Norse
Þrúðr,"""Power""",https://en.wikipedia.org/wiki/%C3%9Er%C3%BA%C3%B0r,Norse
Vár,a goddess associated with oaths and agreements.,https://en.wikipedia.org/wiki/V%C3%A1r,Norse
Vör,a goddess associated with wisdom.,https://en.wikipedia.org/wiki/V%C3%B6r,Norse
Zisa,Possibly related to *Tiwaz,https://en.wikipedia.org/wiki/Zisa_(goddess),Norse
Abundantia,divine personification of abundance and prosperity.,https://en.wikipedia.org/wiki/Abundantia,Roman
Acca Larentia,a diva of complex meaning and origin in whose honor the Larentalia was held.,https://en.wikipedia.org/wiki/Acca_Larentia,Roman
Acis,god of the Acis River in Sicily.,https://en.wikipedia.org/wiki/Acis_and_Galatea,Roman
Aerecura,"goddess possibly of Celtic origin, associated with the underworld and identified with Proserpina.",https://en.wikipedia.org/wiki/Erecura,Roman
Aequitas,divine personification of fairness.,https://en.wikipedia.org/wiki/Aequitas,Roman
Aesculapius,"the Roman equivalent of Asclepius, god of health and medicine.",https://en.wikipedia.org/wiki/Asclepius,Roman
Aeternitas,goddess and personification of eternity.,https://en.wikipedia.org/wiki/Aeternitas,Roman
Aion,"(Latin spelling Aeon), Hellenistic god of cyclical or unbounded time, related to the concepts of aevum or saeculum",https://en.wikipedia.org/wiki/Aion_(deity),Roman
Aius Locutius,divine voice that warned the Romans of the imminent Gallic invasion.,https://en.wikipedia.org/wiki/Aius_Locutius,Roman
Alernus,"an archaic god whose sacred grove (lucus) was near the Tiber river. He is named definitively only by Ovid.[29] The grove was the birthplace of the nymph Cranea, and despite the obscurity of the god, the state priests still carried out sacred rites (sacra) there in the time of Augustus.[30] Alernus may have been a chthonic god, if a black ox was the correct sacrificial offering to him, since dark victims were offered to underworld gods.[31] Dumézil wanted to make him a god of beans.[32]",https://en.wikipedia.org/wiki/Helernus,Roman
Angerona,goddess who relieved people from pain and sorrow.,https://en.wikipedia.org/wiki/Angerona,Roman
Angitia,goddess associated with snakes and Medea.,https://en.wikipedia.org/wiki/Angitia,Roman
Anna Perenna,"early goddess of the ""circle of the year"", her festival was celebrated March 15.",https://en.wikipedia.org/wiki/Anna_Perenna,Roman
Annona,the divine personification of the grain supply to the city of Rome.,https://en.wikipedia.org/wiki/Annona_(mythology),Roman
Antevorta,goddess of the future and one of the Camenae; also called Porrima.,https://en.wikipedia.org/wiki/Antevorta,Roman
Apollo,"god of poetry, music, and oracles, and one of the Dii Consentes.",https://en.wikipedia.org/wiki/Apollo,Roman
Arimanius,an obscure Mithraic god.,https://en.wikipedia.org/wiki/Arimanius,Roman
Aura,"often plural Aurae, ""the Breezes"".",https://en.wikipedia.org/wiki/Aura_(mythology),Roman
Aurora,goddess of the dawn.,https://en.wikipedia.org/wiki/Aurora_(mythology),Roman
Averruncus,a god propitiated to avert calamity.,https://en.wikipedia.org/wiki/Averruncus,Roman
Bacchus,"god of wine, sensual pleasures, and truth, originally a cult title for the Greek Dionysus and identified with the Roman Liber.",https://en.wikipedia.org/wiki/Dionysus,Roman
Bellona,war goddess,https://en.wikipedia.org/wiki/Bellona_(goddess),Roman
Bona Dea,"the ""women's goddess""[33] with functions pertaining to fertility, healing, and chastity.",https://en.wikipedia.org/wiki/Bona_Dea,Roman
Bonus Eventus,"divine personification of ""Good Outcome"".",https://en.wikipedia.org/wiki/Bonus_Eventus,Roman
Bubona,goddess of cattle.,https://en.wikipedia.org/wiki/Bubona,Roman
Caca,"an archaic fire goddess and ""proto-Vesta"";[34] the sister of Cacus.",https://en.wikipedia.org/wiki/Caca_(mythology),Roman
Cacus,"originally an ancient god of fire, later regarded as a giant.",https://en.wikipedia.org/wiki/Cacus,Roman
Caelus,god of the sky before Jupiter.,https://en.wikipedia.org/wiki/Caelus,Roman
Camenae,"goddesses with various attributes including fresh water, prophecy, and childbirth. There were four of them: Carmenta, Egeria, Antevorta, and Postvorta.",https://en.wikipedia.org/wiki/Camenae,Roman
Cardea,"goddess of the hinge (cardo), identified by Ovid with Carna (below)",https://en.wikipedia.org/wiki/Cardea,Roman
Carmenta,"goddess of childbirth and prophecy, and assigned a flamen minor. The leader of the Camenae.",https://en.wikipedia.org/wiki/Carmenta,Roman
Carmentes,"two goddesses of childbirth: Antevorta and Postvorta or Porrima, future and past.",https://en.wikipedia.org/wiki/Camenae,Roman
Carna,goddess who preserved the health of the heart and other internal organs.,https://en.wikipedia.org/wiki/Cardea,Roman
Ceres,"goddess of the harvest and mother of Proserpina, and one of the Dii Consentes. The Roman equivalent of Demeter [Greek goddess].",https://en.wikipedia.org/wiki/Ceres_(mythology),Roman
Clementia,goddess of forgiveness and mercy.,https://en.wikipedia.org/wiki/Clementia,Roman
Cloacina,goddess who presided over the system of sewers in Rome; identified with Venus.,https://en.wikipedia.org/wiki/Cloacina,Roman
Concordia,"goddess of agreement, understanding, and marital harmony.",https://en.wikipedia.org/wiki/Concordia_(mythology),Roman
Consus,chthonic god protecting grain storage.,https://en.wikipedia.org/wiki/Consus,Roman
Cupid,"Roman god of love. The son of Venus, and equivalent to Greek Eros.",https://en.wikipedia.org/wiki/Cupid,Roman
Cura,personification of care and concern who according to a single source[35] created humans from clay.,https://en.wikipedia.org/wiki/Cura_(mythology),Roman
Cybele,an imported tutelary goddess often identified with Magna Mater,https://en.wikipedia.org/wiki/Cybele,Roman
Dea Dia,goddess of growth.,https://en.wikipedia.org/wiki/Dea_Dia,Roman
Dea Tacita,"(""The Silent Goddess""), a goddess of the dead; later equated with the earth goddess Larenta.",https://en.wikipedia.org/wiki/Dea_Tacita,Roman
Decima,"minor goddess and one of the Parcae (Roman equivalent of the Moirai). The measurer of the thread of life, her Greek equivalent was Lachesis.",https://en.wikipedia.org/wiki/Decima_(mythology),Roman
Devera or Deverra,"goddess who ruled over the brooms used to purify temples in preparation for various worship services, sacrifices and celebrations; she protected midwives and women in labor.",https://en.wikipedia.org/wiki/Deverra,Roman
Diana,"goddess of the hunt, the moon, virginity, and childbirth, twin sister of Apollo and one of the Dii Consentes.",https://en.wikipedia.org/wiki/Diana_(mythology),Roman
Diana Nemorensis,local version of Diana. The Roman equivalent of Artemis [Greek goddess],https://en.wikipedia.org/wiki/Diana_Nemorensis,Roman
Discordia,personification of discord and strife. The Roman equivalent of Eris [Greek goddess],https://en.wikipedia.org/wiki/Discordia_(disambiguation),Roman
Dius Fidius,"god of oaths, associated with Jupiter.",https://en.wikipedia.org/wiki/Dius_Fidius,Roman
Di inferi,deities associated with death and the underworld.,https://en.wikipedia.org/wiki/Di_inferi,Roman
Disciplina,personification of discipline.,https://en.wikipedia.org/wiki/Disciplina,Roman
Dis Pater,god of wealth and the underworld; perhaps a translation of Greek Plouton (Pluto).,https://en.wikipedia.org/wiki/D%C4%ABs_Pater,Roman
Egeria,"water nymph or goddess, later considered one of the Camenae.",https://en.wikipedia.org/wiki/Egeria_(mythology),Roman
Empanda,a goddess whose temple never closed to those in need.,https://en.wikipedia.org/wiki/Empanda,Roman
Epona,"Gallo-Roman goddess of horses and horsemanship, usually assumed to be of Celtic origin.",https://en.wikipedia.org/wiki/Epona,Roman
Falacer,obscure god. He was assigned a minor flamen.,https://en.wikipedia.org/wiki/Falacer,Roman
Fama,goddess of fame and rumor,https://en.wikipedia.org/wiki/Pheme,Roman
Fascinus,phallic god who protected from invidia (envy) and the evil eye.,https://en.wikipedia.org/wiki/Fascinus,Roman
Fauna,"goddess of prophecy, but perhaps a title of other goddesses such as Maia.",https://en.wikipedia.org/wiki/Fauna_(deity),Roman
Faunus,god of flocks.,https://en.wikipedia.org/wiki/Faunus,Roman
Faustitas,goddess who protected herd and livestock.,https://en.wikipedia.org/wiki/Faustitas,Roman
Februus,god of Etruscan origin for whom the month of February was named; concerned with purification,https://en.wikipedia.org/wiki/Februus,Roman
Febris,"""Fever,"" goddess with the power to cause or prevent fevers and malaria.",https://en.wikipedia.org/wiki/Febris,Roman
Fecunditas,personification of fertility.,https://en.wikipedia.org/wiki/Fecunditas,Roman
Felicitas,personification of good luck and success.,https://en.wikipedia.org/wiki/Felicitas,Roman
Ferentina,"patron goddess of the city Ferentinum, Latium, protector of the Latin commonwealth.",https://en.wikipedia.org/wiki/Ferentina,Roman
Feronia,"goddess concerned with wilderness, plebeians, freedmen, and liberty in a general sense.",https://en.wikipedia.org/wiki/Feronia_(mythology),Roman
Fides,personification of loyalty.,https://en.wikipedia.org/wiki/Fides_(deity),Roman
Flora,"goddess of flowers, was assigned a flamen minor.",https://en.wikipedia.org/wiki/Flora_(mythology),Roman
Fornax,"goddess probably conceived of to explain the Fornacalia, ""Oven Festival.""",https://en.wikipedia.org/wiki/Fornax_(mythology),Roman
Fontus,god of wells and springs.,https://en.wikipedia.org/wiki/Fontus,Roman
Fortuna,goddess of fortune.,https://en.wikipedia.org/wiki/Fortuna,Roman
Fufluns,"god of wine, natural growth and health. He was adopted from Etruscan religion.",https://en.wikipedia.org/wiki/Fufluns,Roman
Fulgora,personification of lightning.,https://en.wikipedia.org/wiki/Fulgora_(mythology),Roman
Furrina,"goddess whose functions are mostly unknown, but in archaic times important enough to be assigned a flamen.",https://en.wikipedia.org/wiki/Furrina,Roman
Genius,the tutelary spirit or divinity of each individual,https://en.wikipedia.org/wiki/Genius_(mythology),Roman
Gratiae,Roman term for the Charites or Graces.,https://en.wikipedia.org/wiki/Charites,Roman
Hercules,"god of strength, whose worship was derived from the Greek hero Heracles but took on a distinctly Roman character.",https://en.wikipedia.org/wiki/Hercules,Roman
Hermaphroditus,an androgynous Greek god whose mythology was imported into Latin literature.,https://en.wikipedia.org/wiki/Hermaphroditus,Roman
Honos,a divine personification of honor.,https://en.wikipedia.org/wiki/Honos,Roman
Hora,the wife of Quirinus,https://www.britannica.com/topic/Hora-Greek-mythology,Roman
Indiges,the deified Aeneas.,https://en.wikipedia.org/wiki/Jupiter_Indiges,Roman
Intercidona,minor goddess of childbirth; invoked to keep evil spirits away from the child; symbolised by a cleaver.,https://en.wikipedia.org/wiki/List_of_Roman_birth_and_childhood_deities,Roman
Inuus,"god of fertility and sexual intercourse, protector of livestock.",https://en.wikipedia.org/wiki/Inuus,Roman
Invidia,goddess of envy and wrongdoing.,https://en.wikipedia.org/wiki/Invidia,Roman
Janus,double-faced or two-headed god of beginnings and endings and of doors.,https://en.wikipedia.org/wiki/Janus,Roman
Juno,"Queen of the gods, goddess of matrimony, and one of the Dii Consentes. Equivalent to Greek Hera.",https://en.wikipedia.org/wiki/Juno_(mythology),Roman
Jupiter,"King of the gods, god of storms, lightning, sky, and one of the Dii Consentes; was assigned a flamen maior. Equivalent to Greek Zeus.",https://en.wikipedia.org/wiki/Jupiter_(mythology),Roman
Justitia,goddess of justice.,https://en.wikipedia.org/wiki/Lady_Justice,Roman
Juturna,"goddess of fountains, wells, and springs.",https://en.wikipedia.org/wiki/Juturna,Roman
Juventas,goddess of youth.,https://en.wikipedia.org/wiki/Juventas,Roman
Lares,household gods.,https://en.wikipedia.org/wiki/Lares,Roman
Latona,goddess of light.,https://en.wikipedia.org/wiki/Leto,Roman
Laverna,"patroness of thieves, con men and charlatans.",https://en.wikipedia.org/wiki/Laverna,Roman
Lemures,the malevolent dead.,https://en.wikipedia.org/wiki/Lemures,Roman
Levana,goddess of the rite through which fathers accepted newborn babies as their own.,https://en.wikipedia.org/wiki/Levana,Roman
Letum,personification of death.,https://en.wikipedia.org/wiki/Mors_(mythology),Roman
Liber,"a god of male fertility, viniculture and freedom, assimilated to Roman Bacchus and Greek Dionysus.",https://en.wikipedia.org/wiki/Liber,Roman
Libera,"Liber's female equivalent, assimilated to Roman Proserpina and Greek Persephone.",https://en.wikipedia.org/wiki/Proserpina,Roman
Liberalitas,goddess or personification of generosity.,https://en.wikipedia.org/wiki/Liberalitas,Roman
Libertas,goddess or personification of freedom.,https://en.wikipedia.org/wiki/Libertas,Roman
Libitina,"goddess of death, corpses and funerals.",https://en.wikipedia.org/wiki/Libitina,Roman
